Terminal,Name,Distance,PostalCodeHigh
PHC,PHC SITE-IKOM__RENAMED__1,424.00,1900003
PHC,PORT-HARCOURT SITE - IKOM,424.00,1900003
GGLD, - AJASE -KWARA__RENAMED__1,425.00,3300001
GGLD,GGLD TO IKIRUN OSUN STATE,425.00,231108
GGLD,GGLD TO IKIRUN OSUN STATE__RENAMED__1,425.00,231108
GGLD,GGLD TO IKIRUN OSUN STATE__RENAMED__2,425.00,231108
GGLD,GWAGWALADA-AGATU-BENUE-,425.00,972108
GGLD,GWAGWALADA-AGATU-BENUE-__RENAMED__1,425.00,972108
GGLD,GWAGWALADA-AGATU-BENUE-__RENAMED__2,425.00,972108
KAN,KANO SITE - kwoi-koboma - kaduna,425.00,2800008
SAP,SAPELE TO OGUMA KOGI STATE,425.00,272106
SAP,SAPELE TO OGUMA KOGI STATE__RENAMED__1,425.00,272106
SAP,SAPELE TO OGUMA KOGI STATE__RENAMED__2,425.00,272106
GGLD,"GGLD-GBOKO, BENUE STATE",427.00,981101
GGLD,"GGLD-GBOKO, BENUE STATE__RENAMED__1",427.00,981101
GGLD,"GGLD-GBOKO, BENUE STATE__RENAMED__2",427.00,981101
KAN,KANO SITE - MAURO GASUA,427.00,4600006
KAN,KANO-BAJOGA-GOMBE,427.00,762102
KAN,KANO-BAJOGA-GOMBE__RENAMED__1,427.00,762102
KAN,KANO-BAJOGA-GOMBE__RENAMED__2,427.00,762102
GGLD,GWAGWALADA-BOGORO-BAUCHI,428.00,741104
GGLD,GWAGWALADA-BOGORO-BAUCHI__RENAMED__1,428.00,741104
GGLD,GWAGWALADA-BOGORO-BAUCHI__RENAMED__2,428.00,741104
KAN,KANO-GURARA-NIGER,428.00,910102
KAN,KANO-GURARA-NIGER__RENAMED__1,428.00,910102
KAN,KANO-GURARA-NIGER__RENAMED__2,428.00,910102
SAP,SAPELE SITE - P/HARCOURT-EKET ROAD,428.00,4200008
GGLD,GWAGWALADA-BUNKURE-KANO,429.00,710103
GGLD,GWAGWALADA-BUNKURE-KANO__RENAMED__1,429.00,710103
GGLD,GWAGWALADA-BUNKURE-KANO__RENAMED__2,429.00,710103
GGLD,GWAGWALADA-OKPOKWU-BENUE-,429.00,973103
GGLD,GWAGWALADA-OKPOKWU-BENUE-__RENAMED__1,429.00,973103
GGLD,GWAGWALADA-OKPOKWU-BENUE-__RENAMED__2,429.00,973103
SAP,SAPELE SITE - IFOM,429.00,1300004
ENG,ENG-DENGI LOCAL GOVERNMENT PLATAEU STATE NORTH CENTRAL,430.00,942101
GGLD,GWAGWALADA-KONSHISHA-BENUE-,430.00,971109
GGLD,GWAGWALADA-KONSHISHA-BENUE-__RENAMED__1,430.00,971109
GGLD,GWAGWALADA-KONSHISHA-BENUE-__RENAMED__2,430.00,971109
GGLD,Gwagwalada-Minna-Zungeru-Tegina-Kontagora-Magama,430.00,923106
GGLD,Gwagwalada-Minna-Zungeru-Tegina-Kontagora-Magama__RENAMED__1,430.00,923106
GGLD,Gwagwalada-Minna-Zungeru-Tegina-Kontagora-Magama__RENAMED__2,430.00,923106
KAN,KANO- ABBAS BAUCHI,430.00,743101
KAN,KANO- ABBAS BAUCHI__RENAMED__1,430.00,743101
KAN,KANO- ABBAS BAUCHI__RENAMED__2,430.00,743101
KAN,KANO SITE - GEIDAM__RENAMED__1,430.00,4600002
KAN,KANO SITE - KANKE LGA -PLATEAU,430.00,4100006
KAN,KANO-ABBAS-BAUCHI,430.00,743101
KAN,KANO-ABBAS-BAUCHI__RENAMED__1,430.00,743101
KAN,KANO-ABBAS-BAUCHI__RENAMED__2,430.00,743101
PHC,PORT-HARCOURT SITE - OWO,430.00,3800006
SAP,SAPELE SITE - NDUBIA,430.00,1900004
GGLD,GWAGWALADA-KUMBOTSO-KANO,431.00,700101
GGLD,GWAGWALADA-KUMBOTSO-KANO__RENAMED__1,431.00,700101
GGLD,GWAGWALADA-KUMBOTSO-KANO__RENAMED__2,431.00,700101
KAN,KANO SITE - DANDIKOWA,431.00,4100002
SAP,SAPELE SITE - OYO,431.00,4000009
SAP,SAPELE SITE - OYO__RENAMED__1,431.00,4000009
SAP,SAPELE SITE - OYO__RENAMED__2,431.00,4000009
GGLD, - TARAKU - BENUE STATE__RENAMED__1,432.00,1700007
KAN,KANO SITE - GEIDAM,435.00,4500004
KAN,KANO SITE - GWA-GWA- ABUJA,435.00,1100008
SAP,SAPELE SITE - OKO KWARA,435.00,3300012
SAP,SAPELE SITE - OKO KWARA__RENAMED__1,435.00,3300012
SAP,SAPELE SITE - OKO KWARA__RENAMED__2,435.00,3300012
GGLD, - JOGANA__RENAMED__1,436.00,2900004
ENG,ENUGU  - KUJE - ABUJA,436.00,1100010
ENG,ENUGU - DEIDEI,436.00,1100004
ENG,ENUGU - IGBOKODA,436.00,352117
ENG,ENUGU - IGBOKODA__RENAMED__1,436.00,352117
ENG,ENUGU - IGBOKODA__RENAMED__2,436.00,352117
KAN,KANO SITE - FOBUR-JOS,436.00,4100003
KAN,KANO-GUJBA-YOBE,436.00,621002
KAN,KANO-GUJBA-YOBE__RENAMED__1,436.00,621002
KAN,KANO-GUJBA-YOBE__RENAMED__2,436.00,621002
KAN,KANO-TEGINA-NIGER,436.00,922101
KAN,KANO-TEGINA-NIGER__RENAMED__1,436.00,922101
KAN,KANO-TEGINA-NIGER__RENAMED__2,436.00,922101
GGLD, - ARA EKITI__RENAMED__1,437.00,2300002
KAN,KANO-JABA-KADUNA,437.00,801109
KAN,KANO-JABA-KADUNA__RENAMED__1,437.00,801109
KAN,KANO-JABA-KADUNA__RENAMED__2,437.00,801109
GGLD, - OFFA TOWN - KWARA__RENAMED__1,438.00,3300007
KAN,KANO SITE - DUTSE,438.00,1100005
KAN,KANO-BILIRI-GOMBE,439.00,771101
KAN,KANO-BILIRI-GOMBE__RENAMED__1,439.00,771101
KAN,KANO-BILIRI-GOMBE__RENAMED__2,439.00,771101
PHC,PHC-ADO-BENUE-,439.00,270106
PHC,PHC-ADO-BENUE-__RENAMED__1,439.00,270106
PHC,PHC-ADO-BENUE-__RENAMED__2,439.00,270106
ENG, - IKERE,440.00,4000002
GGLD,GWAGWALADA SITE - KANO,440.00,2900005
KAN,KAN-BASSA NIGER STATE,440.00,930112
KAN,KAN-BASSA NIGER STATE__RENAMED__1,440.00,930112
KAN,KAN-BASSA NIGER STATE__RENAMED__2,440.00,930112
KAN,KANO SITE - KALALAWA-Yobe,441.00,4500005
GGLD, - IKERE__RENAMED__1,443.00,4000002
PHC,PORT-HARCOURT SITE - ADOKA,443.00,1700002
SAP,SAPELE SITE - IKOYI - OSUN STATE,443.00,3900003
SAP,SAPELE-ADO-BENUE-,443.00,270106
SAP,SAPELE-ADO-BENUE-__RENAMED__1,443.00,270106
SAP,SAPELE-ADO-BENUE-__RENAMED__2,443.00,270106
GGLD,GWAGWALADA-DALA-KANO,444.00,700103
GGLD,GWAGWALADA-DALA-KANO__RENAMED__1,444.00,700103
GGLD,GWAGWALADA-DALA-KANO__RENAMED__2,444.00,700103
KAN,KANO-SANGA-KADUNA,444.00,801129
KAN,KANO-SANGA-KADUNA__RENAMED__1,444.00,801129
KAN,KANO-SANGA-KADUNA__RENAMED__2,444.00,801129
PHC,"PHC TO IGUMALE, BENUE STATE",444.00,973109
PHC,PORT-HARCOURT SITE - ABEJUKOLO,444.00,3200001
GGLD,GGLD-OLOGBO-OBANYANTON,445.00,300105
GGLD,GGLD-OLOGBO-OBANYANTON__RENAMED__1,445.00,300105
GGLD,GGLD-OLOGBO-OBANYANTON__RENAMED__2,445.00,300105
KAN,KANO SITE - ALKALERI,445.00,1500001
KAN,KANO-GWAGWALADA,445.00,1100020
KAN,KANO-GWAGWALADA__RENAMED__1,445.00,1100020
KAN,KANO-GWAGWALADA__RENAMED__2,445.00,1100020
PHC,PHC-AKOTOGBO-IRELE,445.00,3800008
PHC,PHC-AKOTOGBO-IRELE__RENAMED__1,445.00,3800008
PHC,PHC-AKOTOGBO-IRELE__RENAMED__2,445.00,3800008
SAP,SAPELE SITE - YAHE,445.00,1900008
PHC,"PHC-Odu Ogboyaga, Dekina Kogi State",446.00,272101
PHC,"PHC-Odu Ogboyaga, Dekina Kogi State__RENAMED__1",446.00,272101
PHC,"PHC-Odu Ogboyaga, Dekina Kogi State__RENAMED__2",446.00,272101
PHC,PHC-OKPOKWU-BENUE-,446.00,973103
PHC,PHC-OKPOKWU-BENUE-__RENAMED__1,446.00,973103
PHC,PHC-OKPOKWU-BENUE-__RENAMED__2,446.00,973103
PHC,PORT-HARCOURT SITE - ITOBE-KOGI STATE,446.00,3200003
GGLD, - AWO-OSUN__RENAMED__1,447.00,3900001
ENG, - ARA EKITI,448.00,2300002
GGLD,GGLD-UDI ABIA ENUGU STATE,448.00,401104
GGLD,GGLD-UDI ABIA ENUGU STATE__RENAMED__1,448.00,401104
GGLD,GGLD-UDI ABIA ENUGU STATE__RENAMED__2,448.00,401104
GGLD,GWAGWALADA - WUKARI,448.00,670101
GGLD,GWAGWALADA - WUKARI__RENAMED__1,448.00,670101
GGLD,GWAGWALADA - WUKARI__RENAMED__2,448.00,670101
GGLD,GWAGWALADA-GANO-KANO,448.00,713104
GGLD,GWAGWALADA-GANO-KANO__RENAMED__1,448.00,713104
GGLD,GWAGWALADA-GANO-KANO__RENAMED__2,448.00,713104
KAN,KANO SITE - VOM,448.00,4100008
SAP,SAPELE-GANO-KANO,448.00,713104
SAP,SAPELE-GANO-KANO__RENAMED__1,448.00,713104
SAP,SAPELE-GANO-KANO__RENAMED__2,448.00,713104
KAN,KANO-GWARIMPA-FCT-ABUJA,449.00,900108
KAN,KANO-GWARIMPA-FCT-ABUJA__RENAMED__1,449.00,900108
KAN,KANO-GWARIMPA-FCT-ABUJA__RENAMED__2,449.00,900108
PHC,PHC - IDOANI ONDO STATE,449.00,341115
PHC,PHC - IDOANI ONDO STATE__RENAMED__1,449.00,341115
PHC,PHC - IDOANI ONDO STATE__RENAMED__2,449.00,341115
SAP,SAPELE SITE - AWO-OSUN,449.00,3900001
KAN,KAN-DENGI LOCAL GOVERNMENT PLATAEU STATE NORTH CENTRAL,450.00,942101
KAN,KAN-DENGI LOCAL GOVERNMENT PLATAEU STATE NORTH CENTRAL__RENAMED__1,450.00,942101
KAN,KAN-DENGI LOCAL GOVERNMENT PLATAEU STATE NORTH CENTRAL__RENAMED__2,450.00,942101
KAN,KANO-DANGE-SHUNI-SOKOTO,450.00,840103
KAN,KANO-DANGE-SHUNI-SOKOTO__RENAMED__1,450.00,840103
KAN,KANO-DANGE-SHUNI-SOKOTO__RENAMED__2,450.00,840103
KAN,KANO-MARIGA-NIGER,450.00,922106
KAN,KANO-MARIGA-NIGER__RENAMED__1,450.00,922106
KAN,KANO-MARIGA-NIGER__RENAMED__2,450.00,922106
KAN,KANO-SABON-BIRNI-SOKOTO,450.00,841105
KAN,KANO-SABON-BIRNI-SOKOTO__RENAMED__1,450.00,841105
KAN,KANO-SABON-BIRNI-SOKOTO__RENAMED__2,450.00,841105
PHC,PHC - OKITIPUPA,450.00,380009
PHC,PHC - OKITIPUPA__RENAMED__1,450.00,380009
PHC,PHC - OKITIPUPA__RENAMED__2,450.00,380009
KAN,KANO SITE - MAIDUGURI,451.00,1800005
SAP,SAPELE SITE - OTUKPO-BENUE STATE,451.00,1700006
GGLD, - BAUCHI__RENAMED__1,452.00,1500003
GGLD,GWAGWALADA SITE - AWALAH MIRI,452.00,1500008
KAN,KANO SITE - KATAMPE,452.00,1100009
KAN,KANO-SHIRORO-NIGER,452.00,921101
KAN,KANO-SHIRORO-NIGER__RENAMED__1,452.00,921101
KAN,KANO-SHIRORO-NIGER__RENAMED__2,452.00,921101
GGLD, - KOKO - LEVANT__RENAMED__1,453.00,2000009
ENG,ENUGU - ABUJA__RENAMED__1,453.00,1100008
GGLD, - OFOSU__RENAMED__1,454.00,3800003
GGLD,GWAGWALADA-OJU-BENUE-,454.00,971107
GGLD,GWAGWALADA-OJU-BENUE-__RENAMED__1,454.00,971107
GGLD,GWAGWALADA-OJU-BENUE-__RENAMED__2,454.00,971107
KAN,KANO SITE - ABUJA,454.00,1100002
KAN,KANO SITE - LAPAI-NIGER STATE,454.00,3600005
KAN,KANO-AIRPORT-ROAD-FCT-ABUJA,454.00,900105
KAN,KANO-AIRPORT-ROAD-FCT-ABUJA__RENAMED__1,454.00,900105
KAN,KANO-AIRPORT-ROAD-FCT-ABUJA__RENAMED__2,454.00,900105
KAN,KANO-BKKUYUMZAMFARA,454.00,630281
KAN,KANO-BKKUYUMZAMFARA__RENAMED__1,454.00,630281
KAN,KANO-BKKUYUMZAMFARA__RENAMED__2,454.00,630281
PHC,PHC TO OBA AKOKO IKUN ONDO STATE,454.00,342116
PHC,PHC TO OBA AKOKO IKUN ONDO STATE__RENAMED__1,454.00,342116
PHC,PHC TO OBA AKOKO IKUN ONDO STATE__RENAMED__2,454.00,342116
GGLD,GGLD SITE - ABAKALIKI,455.00,2100001
GGLD,GGLD SITE - ABAKALIKI__RENAMED__1,455.00,2100001
GGLD,GGLD SITE - ABAKALIKI__RENAMED__2,455.00,2100001
PHC,PHC to OKITIPUPA ONDO STATE,455.00,350105
PHC,PHC to OKITIPUPA ONDO STATE__RENAMED__1,455.00,350105
PHC,PHC to OKITIPUPA ONDO STATE__RENAMED__2,455.00,350105
SAP,SAPELE SITE - OBUBARA-CROSS RIVER,455.00,1900005
GGLD, - Bichi LGA Kano__RENAMED__1,456.00,2900001
ENG,ENUGU - TUNGA GWUNTU,456.00,910103
ENG,ENUGU - TUNGA GWUNTU__RENAMED__1,456.00,910103
ENG,ENUGU - TUNGA GWUNTU__RENAMED__2,456.00,910103
GGLD,GGLD TO WARA KEBBI STATE,456.00,870104
GGLD,GGLD TO WARA KEBBI STATE__RENAMED__1,456.00,870104
GGLD,GGLD TO WARA KEBBI STATE__RENAMED__2,456.00,870104
KAN,KANO SITE - DEIDEI,456.00,1100004
KAN,KANO SITE - KUJE - ABUJA,456.00,1100010
GGLD, - ABRAKA__RENAMED__1,457.00,2000001
GGLD, - MARU__RENAMED__1,457.00,4600005
GGLD,GWAGWALADA-KUSADA-KATSINA,457.00,822102
GGLD,GWAGWALADA-KUSADA-KATSINA__RENAMED__1,457.00,822102
GGLD,GWAGWALADA-KUSADA-KATSINA__RENAMED__2,457.00,822102
KAN,KANO SITE - GOMBE,457.00,2500002
KAN,KANO SITE - MINNA,457.00,3600006
PHC,PORT-HARCOURT SITE - OBUDU,457.00,1900006
SAP,SAPELE SITE - AKAMPA,457.00,1900001
SAP,SAPELE-BADAGRY LAGOS STATE,457.00,3400008
SAP,SAPELE-BADAGRY LAGOS STATE__RENAMED__1,457.00,3400008
SAP,SAPELE-BADAGRY LAGOS STATE__RENAMED__2,457.00,3400008
ENG, - ADO-EKITI,458.00,2300001
KAN,KANO SITE - ONEX - ABUJA,458.00,1100012
KAN,KANO-JABI-FCT-ABUJA,458.00,240102
KAN,KANO-JABI-FCT-ABUJA__RENAMED__1,458.00,240102
KAN,KANO-JABI-FCT-ABUJA__RENAMED__2,458.00,240102
ENG,ENUGU - SULEJA,459.00,1100013
KAN,KANO SITE - DOMA,459.00,2500001
SAP,SAPELE SITE - SO-TA,459.00,3700011
ENG,ENG-ILAWE EKITI STATE,460.00,361102
GGLD,GWAGWALADA-USHONGO-BENUE-,460.00,981114
GGLD,GWAGWALADA-USHONGO-BENUE-__RENAMED__1,460.00,981114
GGLD,GWAGWALADA-USHONGO-BENUE-__RENAMED__2,460.00,981114
KAN,KANO-IDU ABUJA,460.00,1100018
ENG,KANO-IDU ABUJA__RENAMED__1,460.00,1100018
ENG,KANO-IDU ABUJA__RENAMED__2,460.00,1100018
SAP,SAPELE-BADAGRY LAGOS STATE__RENAMED__3,460.00,103101
SAP,SAPELE-BADAGRY LAGOS STATE__RENAMED__4,460.00,103101
SAP,SAPELE-BADAGRY LAGOS STATE__RENAMED__5,460.00,103101
GGLD, - GUSAU__RENAMED__1,461.00,4600003
GGLD, - IFE__RENAMED__1,461.00,3900002
GGLD, - UGBA__RENAMED__3,461.00,3600011
GGLD,GGLD-IFE,461.00,3900002
GGLD,GGLD-IFE__RENAMED__1,461.00,3900002
GGLD,GGLD-IFE__RENAMED__2,461.00,3900002
GGLD,GWAGWALADA-LANGTANG-NORTH-PLATEAU,461.00,933109
GGLD,GWAGWALADA-LANGTANG-NORTH-PLATEAU__RENAMED__1,461.00,933109
GGLD,GWAGWALADA-LANGTANG-NORTH-PLATEAU__RENAMED__2,461.00,933109
KAN,KANO SITE - ALLOMA,461.00,1700003
KAN,KANO SITE - MPAPE QUARRY - ABUJA,461.00,1100011
KAN,KANO-KWALI,461.00,1100021
KAN,KANO-KWALI__RENAMED__1,461.00,1100021
KAN,KANO-KWALI__RENAMED__2,461.00,1100021
GGLD,GWAGWALADA-GERZAWA-KANO,462.00,702101
GGLD,GWAGWALADA-GERZAWA-KANO__RENAMED__1,462.00,702101
GGLD,GWAGWALADA-GERZAWA-KANO__RENAMED__2,462.00,702101
KAN,KANO-SOBA-KADUNA,463.00,801112
KAN,KANO-SOBA-KADUNA__RENAMED__1,463.00,801112
KAN,KANO-SOBA-KADUNA__RENAMED__2,463.00,801112
SAP,SAPELE SITE - MEKO,463.00,3700005
GGLD, - DANDIKOWA__RENAMED__1,464.00,4100002
KAN,KANO-WUSE-FCT-ABUJA,464.00,900299
KAN,KANO-WUSE-FCT-ABUJA__RENAMED__1,464.00,900299
KAN,KANO-WUSE-FCT-ABUJA__RENAMED__2,464.00,900299
PHC,PORT-HARCOURT SITE - BASSA,464.00,3300002
SAP,SAPELE- BENIN- AGBOR -ASABA-ONITSHA- ENUGU-EBONYI-EFFIUM-IGUMALE BENUE,464.00,973109
SAP,SAPELE- BENIN- AGBOR -ASABA-ONITSHA- ENUGU-EBONYI-EFFIUM-IGUMALE BENUE_,464.00,973109
SAP,SAPELE- BENIN- AGBOR -ASABA-ONITSHA- ENUGU-EBONYI-EFFIUM-IGUMALE BENUE__,464.00,973109
SAP,SAPELE to OBAN-CALABAR CROSS RIVER,464.00,542103
SAP,SAPELE to OBAN-CALABAR CROSS RIVER__RENAMED__1,464.00,542102
SAP,SAPELE to OBAN-CALABAR CROSS RIVER__RENAMED__2,464.00,542103
ENG, - IFAKI,465.00,3600003
GGLD,GWAGWALADA-KANKIYA-KATSINA,465.00,822101
GGLD,GWAGWALADA-KANKIYA-KATSINA__RENAMED__1,465.00,822101
GGLD,GWAGWALADA-KANKIYA-KATSINA__RENAMED__2,465.00,822101
GGLD,GWAGWALADA-ZANGO-KATSINA,465.00,824104
GGLD,GWAGWALADA-ZANGO-KATSINA__RENAMED__1,465.00,824104
GGLD,GWAGWALADA-ZANGO-KATSINA__RENAMED__2,465.00,824104
SAP,SAPELE-KWALI,465.00,1100021
SAP,SAPELE-KWALI__RENAMED__1,465.00,1100021
SAP,SAPELE-KWALI__RENAMED__2,465.00,1100021
KAN,KANO SITE - BOKAS-JOS,466.00,4100001
KAN,KANO-ASOKORO-FCT-ABUJA,466.00,900231
KAN,KANO-ASOKORO-FCT-ABUJA__RENAMED__1,466.00,900231
KAN,KANO-ASOKORO-FCT-ABUJA__RENAMED__2,466.00,900231
GGLD, - RIJAU - NIGER STATE__RENAMED__1,467.00,3600009
GGLD,GGLD - UMUERI AIRPORT,467.00,1400011
GGLD,GGLD - UMUERI AIRPORT__RENAMED__1,467.00,1400011
GGLD,GGLD - UMUERI AIRPORT__RENAMED__2,467.00,1400011
PHC,PHC-APA-BENUE-,467.00,972107
PHC,PHC-APA-BENUE-__RENAMED__1,467.00,972107
PHC,PHC-APA-BENUE-__RENAMED__2,467.00,972107
GGLD, - ILORIN,468.00,3300003
GGLD,GWAGWALADA-WUDIL-KANO,468.00,713113
GGLD,GWAGWALADA-WUDIL-KANO__RENAMED__1,468.00,713113
GGLD,GWAGWALADA-WUDIL-KANO__RENAMED__2,468.00,713113
SAP,PELE-MORO KWARA STATE,468.00,240101
SAP,PELE-MORO KWARA STATE__RENAMED__1,468.00,240101
PHC,PHC VANDEKIYA BENUE STATE,468.00,982106
PHC,PHC VANDEKIYA BENUE STATE__RENAMED__1,468.00,982106
PHC,PHC-VANDEKIYA-BENUE-,468.00,982106
PHC,PHC-VANDEKIYA-BENUE-__RENAMED__1,468.00,982106
PHC,PHC-VANDEKIYA-BENUE-__RENAMED__2,468.00,982106
SAP,SAPELE SITE - CALABAR,468.00,1900002
SAP,SAPELE-MORO KWARA STATE,468.00,240101
SAP,SAPELE-OGOBIA BENUE STATE,468.00,972106
SAP,SAPELE-OGOBIA BENUE STATE__RENAMED__1,468.00,972106
SAP,SAPELE-OGOBIA BENUE STATE__RENAMED__2,468.00,972106
GGLD, - OLONDE__RENAMED__1,469.00,3900005
GGLD,GWAGWALADA SITE - WAWA,469.00,3600018
GGLD,GWAGWALADA SITE - WAWA__RENAMED__1,469.00,3600018
GGLD,GWAGWALADA SITE - WAWA__RENAMED__2,469.00,
PHC,PHC TO OGUMA KOGI STATE,469.00,272106
KAN,KANO-LUGBE-FCT-ABUJA,470.00,900107
KAN,KANO-LUGBE-FCT-ABUJA__RENAMED__1,470.00,900107
KAN,KANO-LUGBE-FCT-ABUJA__RENAMED__2,470.00,900107
PHC,PORT-HARCOURT SITE - ADIKPO-BENUE,470.00,1700001
ENG,ENUGU - KATAMPE,471.00,1100009
KAN,KANO SITE - GUZAPE,471.00,1100007
SAP,SAPELE SITE - ALLOMA,471.00,1700003
ENG,ENUGU-IDU ABUJA,472.00,1100018
ENG,ENUGU-IDU ABUJA__RENAMED__1,472.00,1100018
ENG,ENUGU-IDU ABUJA__RENAMED__2,472.00,1100018
SAP,SAPELE SITE - GWAGWALADA,472.00,1100020
ENG,ENUGU - ABUJA,473.00,1100002
KAN,KANO-LANGTANG-NORTH-PLATEAU,473.00,933109
KAN,KANO-LANGTANG-NORTH-PLATEAU__RENAMED__1,473.00,933109
KAN,KANO-LANGTANG-NORTH-PLATEAU__RENAMED__2,473.00,933109
PHC,PHC-GWER-BENUE-,473.00,971101
PHC,PHC-GWER-BENUE-__RENAMED__1,473.00,971101
PHC,PHC-GWER-BENUE-__RENAMED__2,473.00,971101
PHC,PHC-OJU-BENUE-,473.00,971107
PHC,PHC-OJU-BENUE-__RENAMED__1,473.00,971107
PHC,PHC-OJU-BENUE-__RENAMED__2,473.00,971107
SAP,SAPELE SITE - OLONDE,473.00,3900005
GGLD, - KATSINA-ALA__RENAMED__1,474.00,1700004
GGLD,GWAGWALADA-ZAMKO-PLATEAU,474.00,941103
GGLD,GWAGWALADA-ZAMKO-PLATEAU__RENAMED__1,474.00,941103
GGLD,GWAGWALADA-ZAMKO-PLATEAU__RENAMED__2,474.00,941103
ENG, - BIDDA,475.00,3600002
GGLD, - OSOGBO__RENAMED__1,475.00,3900006
ENG,ENUGU - GUZAPE,475.00,1100007
GGLD,GGLD SITE - NGASKI,475.00,3100010
GGLD,GGLD SITE - NGASKI__RENAMED__1,475.00,3100010
GGLD,GGLD SITE - NGASKI__RENAMED__2,475.00,3100010
GGLD, - OYO - OGBOMOSHO ROAD-ILORIN__RENAMED__1,476.00,4000005
GGLD, - OGHARA__RENAMED__1,477.00,2000012
ENG,ENUGU - ONEX - ABUJA,477.00,1100012
ENG,ENUGU-WUSE-NASSARAWA-NASARAWA,477.00,951104
ENG,ENUGU-WUSE-NASSARAWA-NASARAWA__RENAMED__1,477.00,951104
ENG,ENUGU-WUSE-NASSARAWA-NASARAWA__RENAMED__2,477.00,951104
KAN,KANO-RABAH-SOKOTO,477.00,842103
KAN,KANO-RABAH-SOKOTO__RENAMED__1,477.00,842103
KAN,KANO-RABAH-SOKOTO__RENAMED__2,477.00,842103
KAN,KANO-WUSHISHI-NIGER,477.00,922107
KAN,KANO-WUSHISHI-NIGER__RENAMED__1,477.00,922107
KAN,KANO-WUSHISHI-NIGER__RENAMED__2,477.00,922107
PHC,PORT-HARCOURT SITE - AKURE,478.00,3800001
KAN,KANO-KARU-FCT-ABUJA,479.00,900110
KAN,KANO-KARU-FCT-ABUJA__RENAMED__1,479.00,900110
KAN,KANO-KARU-FCT-ABUJA__RENAMED__2,479.00,900110
SAP,SAPELE SITE - KUJE - ABUJA,479.00,1100010
SAP,SAPELE-OKPOKWU-BENUE-,479.00,973103
SAP,SAPELE-OKPOKWU-BENUE-__RENAMED__1,479.00,973103
SAP,SAPELE-OKPOKWU-BENUE-__RENAMED__2,479.00,973103
ENG,ENUGU - MPAPE QUARRY - ABUJA,480.00,1100011
GGLD,GWAGWALADA-INGAWA-KATSINA,480.00,823104
GGLD,GWAGWALADA-INGAWA-KATSINA__RENAMED__1,480.00,823104
GGLD,GWAGWALADA-INGAWA-KATSINA__RENAMED__2,480.00,823104
GGLD,GWAGWALADA-WASE-PLATEAU,480.00,942105
GGLD,GWAGWALADA-WASE-PLATEAU__RENAMED__1,480.00,942105
GGLD,GWAGWALADA-WASE-PLATEAU__RENAMED__2,480.00,942105
PHC,PORT-HARCOURT SITE - IGBOKODA,480.00,3800002
ENG,ENUGU  - GARAM - ABUJA,482.00,1100006
KAN,KANO-ZAMKO-PLATEAU,482.00,941103
KAN,KANO-ZAMKO-PLATEAU__RENAMED__1,482.00,941103
KAN,KANO-ZAMKO-PLATEAU__RENAMED__2,482.00,941103
GGLD,GWAGWALADA SITE - SAYA SAYA KIBIYA,483.00,710102
GGLD,GWAGWALADA SITE - SAYA SAYA KIBIYA__RENAMED__1,483.00,710102
GGLD,GWAGWALADA SITE - SAYA SAYA KIBIYA__RENAMED__2,483.00,710102
GGLD,GWAGWALADA-KANAM-PLATEAU,483.00,942103
GGLD,GWAGWALADA-KANAM-PLATEAU__RENAMED__1,483.00,942103
GGLD,GWAGWALADA-KANAM-PLATEAU__RENAMED__2,483.00,942103
GGLD, - ORE__RENAMED__1,484.00,3800005
SAP,SAPELE SITE - Ogbomosho,484.00,3900004
GGLD, - OYO - OGBOMOSHO__RENAMED__1,485.00,4000004
GGLD, - WANKE-ZAMFARA__RENAMED__1,485.00,4600009
KAN,KANO SITE - TURETA,485.00,4300005
GGLD, - Eku - Warri Road__RENAMED__1,486.00,2000006
KAN,KANO-TARMUWA-YOBE,486.00,602104
KAN,KANO-TARMUWA-YOBE__RENAMED__1,486.00,602104
KAN,KANO-TARMUWA-YOBE__RENAMED__2,486.00,602104
PHC,PHC-AGATU-BENUE-,486.00,972108
PHC,PHC-AGATU-BENUE-__RENAMED__1,486.00,972108
PHC,PHC-AGATU-BENUE-__RENAMED__2,486.00,972108
PHC,PHC-KONSHISHA-BENUE-,487.00,971109
PHC,PHC-KONSHISHA-BENUE-__RENAMED__1,487.00,971109
PHC,PHC-KONSHISHA-BENUE-__RENAMED__2,487.00,971109
SAP,SAPELE SITE - OYO - OGBOMOSHO,487.00,4000004
SAP,SAPELE SITE - OYO - OGBOMOSHO__RENAMED__1,487.00,4000004
ENG, - IDA QUARRY - KADUNA STATE,488.00,2800004
GGLD, - KATSINA__RENAMED__1,488.00,3000005
KAN,KANO-WASE-PLATEAU,488.00,942105
KAN,KANO-WASE-PLATEAU__RENAMED__1,488.00,942105
KAN,KANO-WASE-PLATEAU__RENAMED__2,488.00,942105
SAP,SAPELE SITE - OHAFIA-Akwa Ibom,488.00,2100003
SAP,SAPELE SITE - OHAFIA-Akwa Ibom__RENAMED__1,488.00,2100004
GGLD, - AGBARA OTOR PLANT__RENAMED__1,489.00,2000002
GGLD,GWAGWALADA-AGWARA-NIGER,489.00,923107
GGLD,GWAGWALADA-AGWARA-NIGER__RENAMED__1,489.00,923107
GGLD,GWAGWALADA-AGWARA-NIGER__RENAMED__2,489.00,923107
PHC,PHC- Aba- Enugu-Oturkpa-Oturkpo-Agatu,489.00,972108
